138,安靜,ānjìng ,quiet,verb,A1,,,17/07/21 19:56,17/07/21 19:57
139,姓名,xìngmíng ,first name and last name,noun,A1,,,17/07/21 19:56,17/07/21 19:57
140,女生,nǚshēng ,girl,noun,A1,,,17/07/21 19:56,17/07/21 19:57
141,太陽,tàiyáng ,sun,noun,A1,,,17/07/21 19:56,17/07/21 19:57
142,夏天,xiàtiān ,summer,noun,A1,,,17/07/21 19:56,17/07/21 19:57
143,壞,huài ,bad,verb or adjective,A1,,,17/07/21 19:56,17/07/21 19:57
144,報紙,bàozhǐ ,newspaper,noun,A1,,,17/07/21 19:56,17/07/21 19:57
145,城市,chéngshì ,city,noun,A1,,,17/07/21 19:56,17/07/21 19:57
146,地圖,dìtú ,map,noun,A1,,,17/07/21 19:56,17/07/21 19:57
147,在,zài ,indicating action in progress,adverb,A1,,,17/07/21 19:56,17/07/21 19:57
148,圖片,túpiàn ,image,noun,A1,,,17/07/21 19:56,17/07/21 19:57
149,國家,guójiā ,country,noun,A1,,,17/07/21 19:56,17/07/21 19:57
150,回答,huídá ,to reply,verb,A1,,,17/07/21 19:56,17/07/21 19:57
151,商店,shāngdiàn ,store,noun,A1,,,17/07/21 19:56,17/07/21 19:57
152,同事,tóngshì  ,colleague,noun,A1,,,17/07/21 19:56,17/07/21 19:57
153,司機,sījī ,chauffeur,noun,A1,,,17/07/21 19:56,17/07/21 19:57
154,可愛,kěài ,adorable,verb,A1,,,17/07/21 19:56,17/07/21 19:57
155,句子,jùzi ,sentence,noun,A1,,,17/07/21 19:56,17/07/21 19:57
156,受傷,shòushāng  ,to sustain injuries,verb,A1,,,17/07/21 19:56,17/07/21 19:57
157,參觀,cānguān ,to look around,verb,A1,,,17/07/21 19:56,17/07/21 19:57
158,千,qiān ,thousand,noun,A1,,,17/07/21 19:56,17/07/21 19:57
159,十字路口,shízìlùkǒu ,crossroads,noun,A1,,,17/07/21 19:56,17/07/21 19:57
160,包子,bāozi ,steamed stuffed bun,noun,A1,,,17/07/21 19:56,17/07/21 19:57
161,功課,gōngkè ,homework,noun,A1,,,17/07/21 19:56,17/07/21 19:57
162,分鐘,fēnzhōng,minute,measure word,A1,,,17/07/21 19:56,17/07/21 19:57
163,冷氣,lěngqì,air conditioning,noun,A1,,,17/07/21 19:56,17/07/21 19:57
164,冬天,dōngtiān ,winter,noun,A1,,,17/07/21 19:56,17/07/21 19:57
165,公斤,gōngjīn ,kilogram (kg),measure word,A1,,,17/07/21 19:56,17/07/21 19:57
166,公園,gōngyuán ,park (for public recreation),noun,A1,,,17/07/21 19:56,17/07/21 19:57
167,健康,jiànkāng ,healthy,verb,A1,,,17/07/21 19:56,17/07/21 19:57
168,信封,xìnfēng ,envelope,noun,A1,,,17/07/21 19:56,17/07/21 19:57
169,作業,zuòyè ,school assignment,noun,A1,,,17/07/21 19:56,17/07/21 19:57
170,休息,xiūxí ,rest,verb,A1,,,17/07/21 19:56,17/07/21 19:57
171,久,jiǔ ,(long) time,adverb,A1,,,17/07/21 19:56,17/07/21 19:57
172,不錯,bùcuò ,correct,verb,A1,,,17/07/21 19:56,17/07/21 19:57
173,不客氣,bùkèqì ,you're welcome,,A1,,,17/07/21 19:56,17/07/21 19:57
174,下雪,xiàxuě ,to snow,verb,A1,,,17/07/21 19:56,17/07/21 19:57
175,下雨,xiàyǔ ,to rain,verb,A1,,,17/07/21 19:56,17/07/21 19:57
176,上網,shàngwǎng ,to go online,verb,A1,,,17/07/21 19:56,17/07/21 19:57
177,上班,shàngbān ,to go to work,verb,A1,,,17/07/21 19:56,17/07/21 19:57
178,上學,shàngxué ,to go to school,verb,A1,,,17/07/21 19:56,17/07/21 19:57
179,一定,yīdìng ,surely,adverb,A1,,,17/07/21 19:56,17/07/21 19:57
180,一半,yībàn,half,determinant,A1,,,17/07/21 19:56,17/07/21 19:57
181,鼻子,bízi,nose,noun,A2,,,17/07/21 19:56,17/07/21 19:57
182,點菜,diǎncài ,to order dishes (in a restaurant),verb,A2,,,17/07/21 19:56,17/07/21 19:57
183,點心,diǎnxīn ,light refreshments,noun,A2,,,17/07/21 19:56,17/07/21 19:57
184,黑色,hēisè ,black,noun,A2,,,17/07/21 19:56,17/07/21 19:57
185,麻煩,máfán,trouble,noun,A2,,,17/07/21 19:56,17/07/21 19:57
186,鹽,yán ,salt,noun,A2,,,17/07/21 19:56,17/07/21 19:57
187,鹹,xián ,salted,verb,A2,,,17/07/21 19:56,17/07/21 19:57
188,體育,tǐyù ,sports,noun,A2,,,17/07/21 19:56,17/07/21 19:57
